Waktu,Humidity,Temperature,Tank1,Tank2,RPM
"2021-July-12,22:27:15",71.95391845703125,29.389354705810547,10,18,0
"2021-July-12,22:27:20",71.93827819824219,29.382678985595703,12,21,180
"2021-July-12,22:27:20",71.93827819824219,29.382678985595703,12,21,180
"2021-July-12,22:27:26",71.93293762207031,29.393360137939453,12,22,120
"2021-July-12,22:27:32",71.91691589355469,29.386016845703125,12,22,120
"2021-July-12,22:27:32",71.91691589355469,29.386016845703125,12,22,120
